trial_index,original_emotion,filename,aoi_id,aoi_type,x1,y1,x2,y2,width,height,area_px,area_prop,confidence,source,text,verification_status,verification_notes,img_w,img_h,image_path
1,Negativo,906_orig_1037.jpg,906_orig_1037_text_01,text,456,844,494,888,38,44,1672,0.0011467764060356,0.9987648965289396,easyocr,M,accepted,,1080,1350,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\906_orig_1037.jpg
1,Negativo,906_orig_1037.jpg,906_orig_1037_text_02,text,499,839,637,893,138,54,7452,0.0051111111111111,0.6689052028139879,easyocr,IA 115E,accepted,,1080,1350,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\906_orig_1037.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_face_01,face,175,172,509,506,334,334,111556,0.151570652173913,0.8220468759536743,mediapipe_face_detection,,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_01,text,554,238,694,298,140,60,8400,0.0114130434782608,0.9080782656292462,easyocr,FASHION'S MORE-IS-,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_02,text,13,263,199,319,186,56,10416,0.0141521739130434,0.9982281720052812,easyocr,MARGOT,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_03,text,580,282,666,320,86,38,3268,0.0044402173913043,0.723149805918122,easyocr,MORE,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_04,text,13,298,162,352,149,54,8046,0.0109320652173913,0.9999619422521018,easyocr,ROBBIE,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_05,text,568,302,680,344,112,42,4704,0.006391304347826,0.9888763828138208,easyocr,SEASON,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_06,text,16,335,182,394,166,59,9794,0.0133070652173913,0.7016797364309882,easyocr,"FEARLESS, FUN, AND DEFYING",accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_07,text,14,378,192,436,178,58,10324,0.0140271739130434,0.9998960351026748,easyocr,HOLLYWOOD'S EXPECTATIONS,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_08,text,512,322,732,510,220,188,41360,0.056195652173913,0.9998533321176628,easyocr,43,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_09,text,12,448,164,492,152,44,6688,0.0090869565217391,0.5391167026200904,easyocr,JILL BIDEN,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_10,text,16,476,110,514,94,38,3572,0.0048532608695652,0.7810541712941177,easyocr,ON THE,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_11,text,14,498,140,554,126,56,7056,0.0095869565217391,0.9989854385724029,easyocr,RACE OF A LIFETIME,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_12,text,536,486,714,550,178,64,11392,0.0154782608695652,0.9980412499439372,easyocr,LOOKS,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_13,text,542,530,700,592,158,62,9796,0.0133097826086956,0.9960617573296492,easyocr,TO DRESS UP YOUR LIFEI,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_14,text,558,746,696,790,138,44,6072,0.00825,0.6226435905599786,easyocr,BE MORE,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_15,text,580,772,676,816,96,44,4224,0.0057391304347826,0.9999556442874092,easyocr,CHILL,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_16,text,556,800,696,856,140,56,7840,0.0106521739130434,0.9403828801217452,easyocr,THE RISE OF NEXT-GEN,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_17,text,550,840,702,878,152,38,5776,0.0078478260869565,0.947804065625116,easyocr,ICE CREAMS,accepted,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
3,Neutral,790_orig_889.jpg,790_orig_889_text_01,text,532,609,628,760,96,151,14496,0.0099350275516078,0.9115764744883884,easyocr,1,accepted,,1080,1351,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\neutral\790_orig_889.jpg
5,Positivo,77_orig_76.jpg,77_orig_76_text_01,text,321,347,357,379,36,32,1152,0.0007895386133728,0.6933116899973726,easyocr,m,accepted,,1080,1351,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\positive\77_orig_76.jpg
5,Positivo,77_orig_76.jpg,77_orig_76_text_02,text,697,307,961,379,264,72,19008,0.0130273871206513,0.9617586736417988,easyocr,SHARING SHZE,accepted,,1080,1351,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\positive\77_orig_76.jpg
